header,class,mechanism,group
AGly|AadA8b|AM040708|1174-1965|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|TEM-12|M88143|368-1228|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|620597417|gb|KJ461948.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|NC_002953.2863526|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|OXA-107|EF650033|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-170|HM488991|1-822|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|298113031|gb|HM113564.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|83031782|gb|DQ286729.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
@phgb|EF540343|1463-3230|ARO:3000217|blaR1|betalactams|Penicillin_binding_protein_regulator|BLAR,betalactams,Penicillin binding protein regulator,BLAR
MLS|ermB_7_AF368302|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB
Bla|CTX-M-1|X92506|63-938|866|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|SHV-1_15_FJ668804|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
AGly|AadA23|AJ809407|119-898|781|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
1728|AY162283.2|AY162283|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
1161|FR748153.1|FR748153|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
1711|unknown_id|unknown_name|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB
gi|573461058|emb|HG798963.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
511|unknown_id|unknown_name|betalactams|Class_C_betalactamases|ACC,betalactams,Class C betalactamases,ACC
Bla|LEN-6|AY265890|1-472|472|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Bla|VIM-28|JF900599|1-801|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Flq|QnrB44|JQ349153|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
1462|X71444.1|X71444|Metronidazole|nim_nitroimidazole_reductase|NIMA,Metronidazole,nim nitroimidazole reductase,NIMA
Bla|SHV-1_12_AY787643|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@pvgb|NC_002952|1419759-1422162|ARO:3003312|Staphylococcus|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
gi|452107691|gb|KC351754.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|Z33413|386-935|ARO:3000380|FosC|Fosfomycin|Fosfomycin_phosphorylation|FOSC,Fosfomycin,Fosfomycin phosphorylation,FOSC
@phgb|ACMJ01000036|72074-72986|ARO:3003072|Bacillus|MLS|Macrolide_phosphotransferases|MPH,MLS,Macrolide phosphotransferases,MPH
Bla|blahRAHN-1_1_GU645205|betalactams|Class_A_betalactamases|RAHN,betalactams,Class A betalactamases,RAHN
Bla|SHV-32|AY037778|92-952|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|FJ624872|0-851|ARO:3002319|KPC-9|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
Phe|AJ518835.1|gene6|Phenicol|Phenicol_efflux_pumps|FLOR,Phenicol,Phenicol efflux pumps,FLOR
1718|JN205800.1|JN205800|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
ACou|CP001581.1|gene3049|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
@phgb|L20573|2064-2676|ARO:3003250|bcrC|Bacitracin|Bacitracin_ABC_transporter|BCRC,Bacitracin,Bacitracin ABC transporter,BCRC
Sul|sul2_7_HM486907|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
Bla|cfiA4|AB087229|1-750|750|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA
Tet|tetG_3_S52437|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETG
@phgb|AY956335|38-899|ARO:3001004|TEM-141|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Sul|sul1_20_JF262165|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Bla|CTX-M-114|GQ351346|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|401871164|gb|JX121120.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|TEM-132|AY491682|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
717|GQ288397.1|GQ288397|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
Bla|OXA-76|AY949203|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tet|tetG_5_AF071555|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETG
@pvgb|FQ312006|705198-706383|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
Tet|Tet-44|FN594949|25245-27167|1923|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET44
@phgb|X55640|111-972|ARO:3001064|SHV-5|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|ampH_1_AJ276031|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Fos|fosB_1_X54227|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Fosfomycin,Fosfomycin thiol transferases,FOSB
Fos|fosA_1_NZ_ACWU01000146|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
Bla|EU408350.1|gene12|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
gi|573006828|gb|KF900153.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
185|KF823969.1|KF823969|Glycopeptides|VanB-type_regulator|VANSB,Glycopeptides,VanB-type regulator,VANSB
Bla|ACT-15|JX440356|755-1900|1146|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
304|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET35,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET35
Bla|IND-14|HM367709|8-728|728|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
gi|591389165|gb|KJ135343.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|698174209|gb|KM087859.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
Bla|IND-10|GU206353|19-738|720|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
@pvgb|U75641|19-1066|ARO:3000464|Neisseria|Multi-drug_resistance|Mutant_porin_proteins|POR,Multi-drug resistance,Mutant porin proteins,POR
Bla|cfxA2|AF504910|1-966|966|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX
gi|544207393|gb|KF203097.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|SHV-78|FJ685658|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|784887|gb|L07945.1|PSEBLAOXA3|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Elf|CP000675.2|gene397|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
1003|DQ267940.1|DQ267940|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
Bla|OXY1-5|AY077483|181-1056|876|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
@pvgb|NC_002952|7004-9665|ARO:3003296|Staphylococcus|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
gi|347984504|gb|JF826285.1|Kpneumoniae|CDC1000529|NewDelhi|ndm-1|1|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM
gi|332867557|gb|EF685371.2|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
1758|JN676230.2|JN676230|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
@pvgb|NC_002516.2|3556426-3559198|ARO:3003684|Pseudomonas|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|CMY-39|AB372224|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|166012597|gb|EU375515.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Flq|NC_002952.2859941|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
@phgb|NC_006582|1162417-1163470|ARO:3002816|clbC|Phenicol|23S_rRNA_methyltransferases|CLBC,Phenicol,23S rRNA methyltransferases,CLBC
Bla|CMY-47|HM046998|1040-2185|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Rif|CP002695.1|gene18|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
MLS|AM399080.1|gene2|MLS|Lincosamide_nucleotidyltransferases|LNUA,MLS,Lincosamide nucleotidyltransferases,LNUA
gi|666914763|gb|KJ776406.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
1638|AB985401.1|AB985401|betalactams|Class_A_betalactamases|PER,betalactams,Class A betalactamases,PER
Bla|CMY-43|FJ360626|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Flq|QnrB58_1_JX259319|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
gi|302357573|dbj|AB563173.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
Mdr|NC_002516.2.880212|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXE,Multi-drug resistance,Multi-drug efflux pumps,MEXE
1260|DQ519086.1|DQ519086|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
353|unknown_id|unknown_name|Glycopeptides|VanO-type_regulator|VANSO,Glycopeptides,VanO-type regulator,VANSO
Bla|FJ666066.1|gene1|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC
Bla|CTX-M-52|GU125667|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|OXA-66|EF051061|485-1309|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Gly|VanSc4|EU151753|4599-5663|1065|Glycopeptides|VanC-type_regulator|VANSC,Glycopeptides,VanC-type regulator,VANSC
gi|591542826|gb|KJ207202.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Flq|QnrVC1_1_EU436855.2|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,Fluoroquinolones,Quinolone resistance protein Qnr,QNRVC
Bla|OXA-12|U10251|181-975|795|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|KP109677|4318-5179|ARO:3003670|PEDO-1|betalactams|Class_B_betalactamases|PEDO,betalactams,Class B betalactamases,PEDO
Sul|CP000647.1|gene3624|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
AGly|StrA|AB366441|22458-23261|804|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
Flq|QnrB49|JQ582718|1-681|681|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|SHV-36_1_AY677211|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|AM296481|775-2041|ARO:3002699|cmlB1|Phenicol|Phenicol_efflux_pumps|CMLB,Phenicol,Phenicol efflux pumps,CMLB
Rif|NC_003098.1.933647|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
Phe|CatA1|V00622|244-903|660|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
MLS|vatE_10_AY043212|MLS|Streptogramin_A_O-acetyltransferase|VATE,MLS,Streptogramin A O-acetyltransferase,VATE
Flq|QnrB22|FJ981621|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
@phgb|FJ790516|1287-2085|ARO:3001804|OXA-145|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|U00096|3412802-3413465|ARO:3000656|acrS|Aminoglycosides|Aminoglycoside_efflux_regulator|ACRS,Aminoglycosides,Aminoglycoside efflux regulator,ACRS
Rif|NC_003112.2.902240|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
Bla|SHV-12_3_FJ668805|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|NC_002516|5151077-5154209|ARO:3000801|mexD|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXD,Multi-drug resistance,Multi-drug efflux pumps,MEXD
gi|160858187|emb|AJ866285.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|OXA-68|AY750910|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
2|AY769962.1|AY769962|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEB,Multi-drug resistance,Multi-drug efflux pumps,ADEB
Flq|NC_012469.1.7685406|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
@phgb|FJ872411|40765-41347|ARO:3002967|vanXYE|Glycopeptides|VanE-type_resistance_protein|VANXYE,Glycopeptides,VanE-type resistance protein,VANXYE
Mdr|AB566411.1|gene1|Multi-drug_resistance|Multi-drug_efflux_pumps|QACAB,Multi-drug resistance,Multi-drug efflux pumps,QACAB
Bla|cphA7|AY227053|1-765|765|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA
1168|unknown_id|unknown_name|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Flq|NC_010410.6003198|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
Bla|OXA-326_1_KF203100|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|TEM-128|AY359287|186-1046|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Elf|CP000647.1|gene4394|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
724|AJ223604.1|AJ223604|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
348|KF478993.1|KF478993|Glycopeptides|VanA-type_resistance_protein|VANHA,Glycopeptides,VanA-type resistance protein,VANHA
Bla|BEL-2|FJ666063|1-852|852|betalactams|Class_A_betalactamases|BEL,betalactams,Class A betalactamases,BEL
@phgb|AY700571|0-879|ARO:3002314|KPC-4|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
@phgb|AB219523.1|1175-4286|ARO:3003705|mexN|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXN,Multi-drug resistance,Multi-drug efflux pumps,MEXN
Bla|OXY2-10|FJ785626|132-1004|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
gi|21262145|emb|AJ488302.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|306773837|dbj|AB587082.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
AGly|GU060319.1|gene3|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MLS|JQ861959.1|gene11|MLS|Lincosamide_nucleotidyltransferases|LNUB,MLS,Lincosamide nucleotidyltransferases,LNUB
AGly|AY136758.1|gene3|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|SHV-35|AY070258|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
ACou|CP000647.1|gene3444|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
gi|223635894|emb|AM941846.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|NC_003098|1886035-1888501|ARO:3003044|PBP1b|betalactams|Penicillin_binding_protein|PBP1B,betalactams,Penicillin binding protein,PBP1B
Bla|OXY1-3|AY077482|162-1037|876|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|ACC-3|AF180957|1-1131|1131|betalactams|Class_C_betalactamases|ACC,betalactams,Class C betalactamases,ACC
@phgb|AB091338|173-1355|ARO:3003551|emeA|Multi-drug_resistance|Multi-drug_efflux_pumps|EMEA,Multi-drug resistance,Multi-drug efflux pumps,EMEA
AGly|CR628337.1|gene1595|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH9,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH9
Bla|SHV-109|EU418913|17-877|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Gly|VanA-A_1_FJ866609|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA
gi|29650763|gb|AY243512.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
@phgb|HE999704|886122-886467|ARO:3000251|msrA|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|MSRA,MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,MSRA
Gly|VanTc|DQ022190|1802-3898|2097|Glycopeptides|VanC-type_resistance_protein|VANTC,Glycopeptides,VanC-type resistance protein,VANTC
gi|58701179|gb|AY750913.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
201|EU523697.1|EU523697|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA
Phe|catP_1_U15027|Phenicol|Chloramphenicol_acetyltransferases|CATP,Phenicol,Chloramphenicol acetyltransferases,CATP
gi|397648609|gb|JX025021.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|LEN-26_1_JQ067123|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Bla|TEM-28|ECU37195|76-936|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|157310266|emb|AM778091.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|82592678|gb|DQ279850.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
MLS|msrA_2_AB013298|MLS|Macrolide_resistance_efflux_pumps|MSRA,MLS,Macrolide resistance efflux pumps,MSRA
Tet|tetA_2_X00006|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA
Bla|OCA-114_4_HM104633|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
139|AB894099.1|AB894099|Multi-drug_resistance|Multi-drug_efflux_pumps|cme,Multi-drug resistance,Multi-drug efflux pumps,cme
@phgb|NC_002695|1737553-1737967|ARO:3000676|H-NS|Multi-drug_resistance|MDR_regulator|HNS,Multi-drug resistance,MDR regulator,HNS
gi|13591818|gb|AF357599.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Sul|sul2_20_AJ830710|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
Tet|TetG|AF133140|757-1932|1176|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETG
